fondo,2025-05-30,2025-06-30,2025-07-31,2025-08-29,2025-09-30,2025-10-31,2025-11-28,2025-12-30,2026-01-30,2026-02-27,2026-03-31
Delta Gestion Abierto Pyme I - Clase B,2.8513,,,,,,,,,,
Delta Gestion Abierto Pyme I - Clase E,2.9147,,,,,,,,,,
HF Desarrollo Abierto Pymes - Clase C,2.7195,1.9028,3.5243,1.752,3.101,5.1004,,,,,
IEB Pyme - Clase A,3.8023,1.2852,1.4214,2.2762,2.443,4.8701,2.3754,2.2188,2.0983,2.1703,2.2728
IEB Pyme - Clase B,3.8023,1.2852,1.4213,2.2762,2.4436,4.87,2.3754,2.2188,2.0982,2.1704,2.2728
IEB Pyme - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEB Pyme - Clase Ley N° 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Abiertos Pymes - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Abiertos Pymes - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Abiertos Pymes - Clase C,2.8799,1.9815,4.8191,2.2736,3.9623,4.2712,2.9458,2.8696,2.7524,1.9313,2.1477
MAF Abiertos Pymes - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Abiertos Pymes - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Abiertos Pymes - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Abiertos Pymes - Clase H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Abiertos Pymes - Clase G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1822 Raices Abierto Pymes,1.891,1.4798,6.1965,0.9691,4.3157,5.0202,1.9656,3.3751,2.2034,1.6959,2.9536
Max Abierto PyMEs - Clase A,3.3073,1.7834,3.5971,1.7178,2.9221,4.5417,2.0039,2.2854,2.1947,2.2637,2.583
Max Abierto PyMEs - Clase B,3.3285,1.8053,3.6192,1.7382,2.9448,4.5642,2.0233,2.308,2.2182,2.2833,2.6053
Max Abierto PyMEs - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Abierto PyMEs - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alycbur FCI Abierto Pymes - Clase A,2.7276,2.5,2.6943,2.7043,3.3761,3.4486,2.8436,2.3205,2.3699,2.4458,2.7298
Alycbur FCI Abierto Pymes - Clase B,2.7276,2.5,2.6943,2.7043,3.3761,3.4486,2.8436,2.3205,2.3699,2.4458,2.7298
Alycbur FCI Abierto Pymes - Clase C,2.7277,2.5,2.6943,2.7043,3.3761,3.4486,2.8436,2.3204,2.3699,2.4459,2.7299
Alycbur FCI Abierto Pymes - Clase Ley Nº 27.743,2.9069,2.6849,2.8796,2.8777,3.5689,3.632,2.8436,2.3204,2.3494,2.4459,0.2787
First Abierto Pymes II - Clase A,2.4025,2.3381,2.7045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
First Abierto Pymes II - Clase B,2.4573,2.3947,2.7613,2.3413,2.5738,3.6491,2.6716,2.7481,2.736,2.1831,2.4875
First Abierto Pymes II - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
First Abierto Pymes II - Clase D,2.5585,2.4993,2.8662,2.4391,2.6819,3.755,2.7662,2.8565,2.8409,2.2773,2.5955
Quiron Pymes Capital Plus - Clase A,,,,,-10.0934,1.5046,-1.7246,0.9646,1.1509,0.0311,1.5501
Quiron Pymes Capital Plus - Clase B,,,,,-9.9716,1.5046,-1.7246,0.9645,1.1509,0.0311,1.5501
Quiron Pymes Capital Plus - Clase C,,,,,-9.8677,1.5046,-1.7246,0.9646,1.1509,0.0311,1.5501
Axis Abierto Pymes 4 - Clase A,,,0.0,0.0,0.0,0.0,,,,,
Axis Abierto Pymes 4 - Clase B,,,4.2088,3.9773,4.3372,3.8186,,,,,
Axis Abierto Pymes 4 - Clase X Ley N° 27.743,,,0.0,0.0,0.0,0.0,,,,,
Axis Abierto Pymes 4 - Clase Y Ley N° 27.743,,,0.0,0.0,0.0,0.0,,,,,
Adcap Financiamiento Abierto Pymes - Clase A,,,2.8316,1.6345,1.4834,3.4993,2.3622,2.546,2.1157,1.718,1.7771
Adcap Financiamiento Abierto Pymes - Clase B,,,2.8359,1.6386,1.488,3.5037,2.3661,2.5504,2.12,1.7219,1.7815
Adcap Financiamiento Abierto Pymes - Clase C,,,2.8576,1.6587,1.5101,3.5255,2.3856,2.5728,2.1416,1.7413,1.8037
Adcap Financiamiento Abierto Pymes - Clase Ley Nº 27.743,,,3.0477,1.8344,1.7039,3.7168,2.5566,2.7687,0.2717,0.0,0.0
MAX Gestion Abierto Pyme I - Clase A,,,0.0,0.0,2.5973,3.8735,2.3385,2.7094,2.0798,1.3819,0.8022
MAX Gestion Abierto Pyme I - Clase B,,,5.4528,1.8986,2.8383,3.7147,2.1972,2.5473,1.9236,0.9397,0.643
MAX Gestion Abierto Pyme I - Clase E,,,5.5198,1.9595,2.906,3.7808,2.2561,2.6148,1.9887,0.9979,0.7093
Axis Abierto Pymes 3 - Clase A,,,,2.7675,3.4403,3.6061,2.3974,-3.9097,0.0,0.0,0.2825
Axis Abierto Pymes 3 - Clase B,,,,2.7676,3.4403,3.6062,2.3976,2.321,2.4205,1.8888,2.1273
Axis Abierto Pymes 3 - Clase C,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axis Abierto Pymes 3 - Clase X Ley N° 27.743,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axis Abierto Pymes 3 - Clase Y Ley N° 27.743,,,,2.7676,3.4401,3.6061,2.3976,2.321,2.4204,1.8889,2.1273
Axis Abierto Pymes 4 - Clase C,,,,0.0,0.0,0.0,,,,,
SBS Tavelli Abierto Pymes - Clase P,,,,,,,3.0092,2.9643,2.8602,2.3364,2.5167
Bull Market Abierto Pymes - Clase A,,,,,,,,1.6199,1.783,1.601,2.0925
Bull Market Abierto Pymes - Clase B,,,,,,,,1.8331,1.7832,1.6008,2.0926
Abierto Momentum Pymes - Clase D Ley N° 27.743,,,,,,,,3.0579,3.008,2.1926,0.0
Axis Gestión 1 - Clase A,,,,,,,,0.0,0.0,0.0,0.0
Axis Gestión 1 - Clase B,,,,,,,,2.0263,0.0,0.2123,0.0
Axis Gestión 1 - Clase C,,,,,,,,0.0,1.7087,1.4437,1.3872
Axis Gestión 1 - Clase X Ley N° 27.743,,,,,,,,0.0,0.0,0.0,0.0
Axis Gestión 1 - Clase Y Ley N° 27.743,,,,,,,,0.0,0.0,0.0,0.0
BAVSA Renta Balanceado IV - Clase A,,,,,,,,,,2.4983,2.7099
BAVSA Renta Balanceado IV - Clase B,,,,,,,,,,2.5061,2.719
BAVSA Renta Balanceado IV - Clase C,,,,,,,,,,0.0,0.0
BAVSA Renta Balanceado IV - Clase D,,,,,,,,,,2.648,2.8812
BAVSA Renta Balanceado IV - Clase F Ley Nº 27.743,,,,,,,,,,0.0,0.0
Valiant Total Return - Clase A,-14.2236,0.8192,-0.2403,2.1916,1.945,-3.5883,4.3011,-2.4854,1.4424,-2.5442,-4.7136
Valiant Total Return - Clase B,-14.259,0.7746,-0.2828,2.1512,1.9001,-3.6287,4.261,-2.5284,1.3991,-2.5817,-4.7555
Valiant Total Return - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valiant Total Return - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galileo Renta Fija - Clase A,4.311,1.5944,2.4513,1.1141,-0.2254,15.2627,2.4428,2.6495,2.6994,3.9387,5.4411
Galileo Renta Fija - Clase B,4.3315,1.6143,2.472,1.1345,-0.2052,15.2852,2.4628,2.6707,2.7198,3.9577,5.4624
Schroder Crecimiento - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schroder Crecimiento - Clase B,3.6251,0.8577,0.4234,1.8241,-1.0891,12.4067,2.6838,2.5555,3.0251,3.9568,5.4747
Schroder Crecimiento - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schroder Crecimiento Dos - Clase A,0.0,0.0,0.0,0.0,-1.2718,7.2305,2.4431,-0.1094,-0.0273,0.0,0.0
Schroder Crecimiento Dos - Clase B,3.3377,0.5426,1.2894,2.1578,3.0348,7.2302,2.4538,-0.1001,-0.1063,-0.0967,-0.1104
Schroder Crecimiento Dos - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schroder Crecimiento Tres - Clase A,2.7474,1.6807,2.0224,2.46,4.193,5.7953,2.6839,1.3557,3.1686,2.9722,3.5872
Schroder Crecimiento Tres - Clase B,2.8153,1.7497,2.0921,2.5251,4.2661,5.8677,2.7468,1.4267,3.2388,3.0353,3.6599
Schroder Crecimiento Tres - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schroder Patrimonio Dos - Clase B,2.1776,2.9725,12.8302,-0.247,3.6518,4.8459,1.6778,0.9701,-0.153,-0.3205,1.8207
Schroder Patrimonio Dos - Clase C,2.1798,2.9724,12.8319,-0.2452,3.652,4.8462,1.6787,0.9715,-0.1531,-0.3205,1.8232
Schroder Renta Global Tres - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schroder Renta Global Tres - Clase B,1.993,-0.0816,1.5451,-0.3995,0.2611,0.5359,-0.0975,-0.0791,-0.2772,-0.6106,-0.3162
Schroder Renta Global Tres - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST Gestion VI - Clase A,2.5811,2.5281,2.7952,2.2631,2.9518,3.3512,,,,,
ST Gestion VI - Clase B,2.5811,2.5281,2.7952,2.2631,2.9518,3.3512,,,,,
ST Gestion VI - Clase C,2.5811,2.5281,2.7952,2.2631,2.9518,3.3512,,,,,
ST Gestion VI - Clase D,2.4028,2.344,2.6105,2.0913,2.7609,3.1654,,,,,
ST Gestion VII - Clase A,6.1221,-3.1503,12.5887,-9.0188,-8.5843,43.1362,,,,,
ST Gestion VII - Clase B,6.1221,-3.1502,12.5886,-9.0187,-8.5842,43.1361,,,,,
ST Gestion VII - Clase C,6.297,-2.9852,12.7804,-8.8737,-8.4234,43.38,,,,,
ST Gestion VII - Clase D,6.2095,-3.0677,12.6845,-8.9463,-8.5039,43.258,,,,,
Allaria Dólar Retorno Total - Clase A,0.2129,1.2732,0.2035,-0.502,-0.2608,9.0496,-0.7543,1.9643,2.1666,-1.332,-2.1631
Allaria Dólar Retorno Total - Clase B,0.2334,1.2947,0.2246,-0.4825,-0.2391,9.0727,-0.7355,1.9864,2.188,-1.313,-2.1417
Allaria Dólar Retorno Total - Clase C,0.254,1.3164,0.2461,-0.4626,-0.2177,9.0955,-0.7164,2.0089,2.21,-1.2939,-2.1202
Allaria Dólar Retorno Total - Clase Ley N° 27.743,0.2128,1.2733,0.2033,-0.502,-0.2609,9.0493,-0.7544,1.9643,0.1055,0.0,0.0
Galileo Renta Fija - Clase C,3.5217,0.6624,-8.5825,1.2002,-11.9144,18.1699,5.9624,2.4013,3.2676,7.6538,6.5845
Galileo Renta Fija - Clase D,-0.7456,-0.928,-10.7939,0.1,-11.6883,2.4887,3.4768,-0.2667,0.5348,3.617,1.078
Tandem Dólares Retorno Total - Clase A,0.0,0.1564,-0.0277,0.3599,-0.3262,0.3531,0.2474,1.8807,1.8065,0.0,0.0
Tandem Dólares Retorno Total - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tandem Dólares Retorno Total - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8596,1.808,-0.2199,-0.7194
Tandem Dólares Retorno Total - Clase E Ley N° 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMC Retorno Total II - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMC Retorno Total II - Clase C,14.6425,4.9881,-28.3581,-22.8548,118.6667,-16.2816,3.2839,55.9322,-14.3288,2.519,4.9503
Ualintec Retorno Total - Clase A,8.5612,-5.5249,10.4731,-6.182,-10.8967,57.8608,5.2123,1.2192,4.5801,-11.6495,7.6861
Ualintec Retorno Total - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ualintec Retorno Total - Clase C,8.6282,-5.4646,10.5436,-6.126,-10.1011,57.9615,5.2727,1.3437,4.7048,-11.5544,7.8183
Galileo Argentina - Clase A,-1.3569,1.696,14.4321,-1.1635,0.619,4.7468,3.1673,1.5404,0.0499,-1.7714,-0.3705
Galileo Argentina - Clase B,-1.315,1.7379,14.4808,-1.1215,0.6604,4.7913,3.2097,1.5836,0.0924,-1.7336,-0.3281
MEGAQM Balanceado - Clase A,2.418,1.6246,1.9309,3.2394,4.467,3.9248,2.2364,1.7347,2.6065,2.9615,3.9107
MEGAQM Balanceado - Clase B,2.5261,1.7353,2.042,3.3446,4.5845,4.0383,2.337,1.8493,2.7184,3.0628,4.0276
MEGAQM Balanceado - Clase Ley Nº 27.743,2.4181,1.6247,1.9309,3.2393,4.4668,3.9253,2.2364,1.7348,2.6066,2.9606,3.9105
MEGAQM Retorno Absoluto - Clase A,4.7923,-0.5614,0.1994,0.0105,-1.6771,20.1905,2.7829,3.5705,2.5271,4.29,6.5741
MEGAQM Retorno Absoluto - Clase B,4.8589,-0.4962,0.2652,0.0719,-1.6105,20.2693,2.8437,3.6406,2.5943,4.3518,6.6463
MEGAQM Retorno Total - Clase A,3.3411,-1.5138,2.4922,1.2273,-2.8214,19.1788,1.8299,2.92,1.8971,3.6205,4.6104
MEGAQM Retorno Total - Clase B,3.4067,-1.4492,2.5593,1.2894,-2.7556,19.2569,1.8902,2.9897,1.9638,3.6819,4.6812
Pionero Retorno Total - Clase A,5.4487,-1.3112,0.5345,-2.0781,-7.207,28.6071,2.072,3.6991,2.1985,1.285,2.5374
Pionero Retorno Total - Clase B,5.5134,-1.2486,0.5984,-2.0194,-7.1463,28.6887,2.1305,3.767,2.2634,1.3431,2.6046
SBS Retorno Total - Clase A,2.022,1.3652,11.9464,-1.9593,0.4578,16.3185,1.4567,2.4316,1.5455,-3.8832,-1.7591
SBS Retorno Total - Clase B,2.1061,1.4515,12.0418,-1.8811,0.5462,16.4175,1.5348,2.5216,1.632,-3.8092,-1.6727
SBS Retorno Total - Clase Ley N° 27.743,0.0,1.6388,11.9464,-1.9593,-0.1521,0.0,0.0,0.0,0.0,0.0,0.0
Galileo Argentina - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galileo Argentina - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pionero Retorno Total - Clase C,3.4538,-1.1452,-11.1407,0.0529,-10.0509,21.8737,1.5849,3.1508,3.0935,4.1266,4.5492
Pionero Retorno Total - Clase D,-1.9521,0.1047,-11.6693,2.1151,-3.1283,-5.2957,-0.5342,-0.5938,0.8117,2.7467,1.8954
Consultatio Balance Fund - Clase A,5.1037,0.3355,3.0103,-0.7787,-4.888,21.3747,2.8368,1.8873,1.8345,2.1942,4.1781
Consultatio Balance Fund - Clase B,5.1788,0.4172,3.09,-0.7052,-4.8134,21.4634,2.9092,1.9714,1.9107,2.2651,4.261
Consultatio Balance Fund - Clase Z Ley N° 27.743,5.1788,0.4173,3.09,-0.7052,-4.8133,21.4635,2.9091,1.9714,2.1687,2.624,4.8324
Pionero Renta Estrategico - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pionero Renta Estrategico - Clase B,2.1306,-0.7424,0.0285,-0.849,-5.7664,23.0338,2.1909,2.5724,2.2141,-1.2432,3.7273
Pionero Renta Estrategico - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consultatio Balance Fund RP D.596 - Clase A,1.5385,1.431,,,,,,,,,
Allaria Estrategico - Clase A,1.3924,-6.9333,8.5805,-10.4526,-11.4537,34.5779,5.0141,-3.4202,0.5715,-10.1393,5.9574
Allaria Estrategico - Clase B,1.4133,-6.9136,8.6035,-10.4348,-11.4343,34.6065,5.0343,-3.3991,0.5929,-10.122,5.9806
Allaria Estrategico - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allaria Estrategico - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Compass Ahorro en Dolares - Clase D,1.7752,1.5367,10.4595,-3.3609,-1.0847,24.573,2.7202,3.9766,2.3412,-4.418,-2.8773
Compass Ahorro en Dolares - Clase E,1.9209,1.6752,10.6343,-3.2221,-0.9276,24.7708,2.8467,4.1206,2.4974,-4.2931,-2.7362
Compass Ahorro en Dolares - Clase F,0.3136,0.9319,12.0773,-0.0882,13.2673,-2.4653,1.2737,0.0461,-1.1779,-2.569,0.4577
Compass Best Ideas - Clase D,0.7628,1.7851,13.2169,-0.3558,12.261,-1.0183,2.1503,0.8468,0.4361,-1.9477,0.3508
Compass Best Ideas - Clase E,1.0136,2.025,13.5294,-0.1054,12.5728,-0.7437,2.3658,1.0915,0.7034,-1.7282,0.6009
Compass Best Ideas - Clase F,1.0141,2.0252,13.5296,-0.1059,12.5726,-0.7436,2.366,1.0908,0.7033,-1.7282,0.6013
GMC Retorno Total - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMC Retorno Total - Clase B,0.8696,1.5037,7.3159,4.6145,2.1192,3.1159,0.6115,0.0367,0.2899,-0.9781,-3.4371
GMC Retorno Total - Clase C,0.8799,1.5066,7.3128,4.6307,2.1246,3.118,0.6149,0.0354,0.2928,-0.9766,-3.4469
GMC Retorno Total - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valiant Total Return RP,0.2764,-0.0148,1.8639,-0.3248,0.4975,0.885,0.0889,0.1061,-0.1414,-0.444,-0.302
Compass Ahorro en Dolares - Clase A,1.4569,0.599,-1.4433,-3.2754,-12.671,27.7216,1.4283,3.9289,3.5613,-1.8977,-3.3196
Compass Ahorro en Dolares - Clase B,1.6024,0.7365,-1.2872,-3.1363,-12.5321,27.9241,1.5533,4.0729,3.7191,-1.7696,-3.1794
Compass Ahorro en Dolares - Clase C,1.7186,0.8464,-1.1624,-3.0252,-12.4213,28.0867,1.6533,4.1883,3.8454,-1.6672,-3.0672
Compass Ahorro en Dolares - Clase H Ley 27.743,1.457,0.599,-1.4436,-3.2755,-12.6709,27.7216,1.4283,3.9289,3.5612,-1.8978,-3.3196
Compass Ahorro en Dolares - Clase I Ley 27.743,1.6021,0.7365,-1.2874,-3.1366,-12.4769,28.0868,1.6532,4.188,3.8454,-1.6672,-3.0672
Compass Best Ideas - Clase A,0.4424,0.8392,1.0128,-0.2717,-0.8918,1.479,0.8586,0.797,1.6296,0.6301,-0.1144
Compass Best Ideas - Clase B,0.5129,0.9066,1.0904,-0.2018,-0.8154,1.5578,0.9189,0.8649,1.7049,0.6942,-0.0436
Compass Best Ideas - Clase C,0.6983,1.0832,1.2958,-0.0177,-0.6133,1.7653,1.0785,1.0443,1.9037,0.863,0.1429
Compass Best Ideas - Clase H Ley 27.743,0.4594,0.855,1.0308,-0.255,-0.8739,1.4978,0.8728,0.8128,1.6473,0.6454,-0.0975
Compass Best Ideas - Clase I Ley 27.743,0.5209,0.9141,1.0993,-0.1936,-0.8065,1.5668,0.9259,0.8726,1.7136,0.702,-0.0352
Galileo Event Driven - Clase A,1.0516,1.0641,1.2125,0.6516,0.6853,0.352,0.1214,0.7927,1.1835,-0.5151,-1.4285
Galileo Event Driven - Clase B,1.1044,1.1123,1.2706,0.7122,0.7414,0.407,0.1769,0.8506,1.2418,-0.4583,-1.3657
Galileo Event Driven - Clase C Ley N° 27.743,1.0513,1.0644,1.2124,0.6516,0.6853,0.3523,0.1215,0.7927,1.1834,-0.5149,-1.4286
Galileo Event Driven - Clase D Ley N° 27.743,1.1042,1.1123,1.2707,0.7124,0.7414,0.407,0.1768,0.8506,1.2419,-0.4584,-1.3656
Galileo Event Driven - Clase Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galileo Event Driven - Clase Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocos Retorno Total III	- Clase A,,,2.5695,2.319,2.2403,4.1557,,,,,
Cocos Retorno Total III - Clase B,,,2.5688,2.319,2.24,4.1556,,,,,
Cocos Retorno Total III - Clase C,,,0.0,0.0,0.0,0.0,,,,,
Cocos Retorno Total II - Clase A,,,,0.0,0.0,0.0,0.0,-0.1861,-0.7513,-2.4216,
Cocos Retorno Total II - Clase B,,,,1.9674,-0.3905,3.3676,9.4331,0.0597,-0.7511,-2.4215,
Cocos Retorno Total II - Clase C,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Max Retorno Total Pesos - Clase A,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Retorno Total Pesos - Clase B,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Retorno Total Pesos - Clase C,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Retorno Total Pesos - Clase D,,,,,-5.2837,8.5402,6.0219,2.0553,-2.0886,-1.4193,2.3258
IEB Estratégico II - Clase A,,,,,-1.08,8.7242,1.1808,0.726,2.4906,-0.8189,2.0014
IEB Estratégico II - Clase B,,,,,-1.08,8.7242,1.1808,0.726,2.4906,-0.8189,2.0014
IEB Estratégico II - Clase X Ley N° 27.743,,,,,-1.09,8.7251,1.181,0.726,1.4599,0.0,0.0
Max Retorno Total Pesos II - Clase A,,,,,,,0.0,0.0,0.0,0.0,0.0
Max Retorno Total Pesos II - Clase B,,,,,,,0.0,0.0,0.0,0.0,0.0
Max Retorno Total Pesos II - Clase C,,,,,,,0.0,0.0,0.0,0.0,0.0
Max Retorno Total Pesos II - Clase D,,,,,,,0.0,0.0,0.0,0.0,0.9184
Adcap Financiamiento 1 - Clase A,,,,,,,,3.8697,3.1954,3.5584,2.7187
Adcap Financiamiento 1 - Clase B,,,,,,,,3.8697,575.6036,3.459,2.6063
Adcap Financiamiento 1 - Clase C,,,,,,,,3.8697,3.1954,3.5584,2.7187
Adcap Financiamiento 1 - Clase D,,,,,,,,3.748,-84.2541,3.5584,2.7187
ConoSur Visus - Clase A,,,,,,,,2.6673,4.0173,-11.8386,8.4065
ConoSur Visus - Clase B,,,,,,,,2.7395,4.0882,-11.7844,8.4828
ConoSur Visus - Clase C,,,,,,,,2.8027,4.1501,-11.737,8.5495
ConoSur Visus - Clase D,,,,,,,,2.7395,4.0881,-11.7844,8.4828
IEB Retorno Total II - Clase A,,,,,,,,0.0,0.0,0.0,0.0
IEB Retorno Total II - Clase B,,,,,,,,0.0,0.0,0.0,1.7344
IEB Retorno Total II - Clase X,,,,,,,,0.0,0.0,0.0,0.0
IEB Retorno Total III - Clase A,,,,,,,,3.0402,3.2451,2.5471,2.8794
IEB Retorno Total III - Clase B,,,,,,,,3.043,3.2442,2.5471,2.8794
IEB Retorno Total III - Clase X,,,,,,,,0.0,0.0,0.0,0.0
Cocos Pesos Plus - Clase A,,,,,,,,2.4553,2.94,2.4054,2.8112
Cocos Pesos Plus - Clase B,,,,,,,,2.4551,2.9403,2.4052,2.8115
Cocos Pesos Plus - Clase C,,,,,,,,0.0,0.0,0.0,0.1974
GMC Retorno Total II - Clase F,,,,,,,,,0.0,0.0,0.0
Fundcorp Estrategia - Clase A,,,,,,,,,,,0.0
Fundcorp Estrategia - Clase B,,,,,,,,,,,0.0
Fundcorp Estrategia - Clase C,,,,,,,,,,,0.0
Fundcorp Estrategia - Clase D,,,,,,,,,,,0.0
Dracma Multiestrategia III - Clase A,,,,,,,,,,,4.9639
Dracma Multiestrategia III - Clase B,,,,,,,,,,,5.002
Dracma Multiestrategia III - Clase C,,,,,,,,,,,0.0
Dracma Multiestrategia III - Clase D,,,,,,,,,,,0.0
Pionero Multiestrategia Mix - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pionero Multiestrategia Plus - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axis Estrategia 10 - Clase A,2.5067,-2.2331,2.6998,6.2351,5.5598,4.0186,3.2528,2.691,3.1402,2.3399,2.9938
Axis Estrategia 10 - Clase B,2.5067,-2.2332,2.7,6.2351,5.5597,4.0187,3.2527,2.6908,3.1404,2.3399,2.9937
Axis Estrategia 11 - Clase A,3.1127,3.1053,3.3516,3.3771,4.6343,4.9046,4.15,3.8667,3.3365,3.0739,2.7801
Axis Estrategia 11 - Clase B,3.1128,3.1052,3.3516,3.377,4.6343,4.9045,4.1502,3.8667,3.3366,3.0738,2.7802
Axis Estrategia 12 - Clase A,0.3625,3.6909,3.7311,3.5536,4.5704,4.7266,4.134,4.4884,4.0996,3.5104,4.6118
Axis Estrategia 12 - Clase B,-0.1738,0.0,0.0,0.1167,3.4819,4.6711,4.1336,4.354,4.0959,3.5102,4.4624
Axis Estrategia 13 - Clase A,2.8153,1.1123,4.6461,-0.4717,-1.3334,14.9386,2.286,1.9038,1.4996,1.0431,3.516
Axis Estrategia 13 - Clase B,2.8151,1.1122,4.6461,-0.4714,-1.3334,14.9386,2.2859,1.904,1.4996,1.0432,3.5161
Axis Estrategia 14 - Clase A,2.7149,-1.7317,4.8626,-3.8466,2.9917,25.9644,0.4064,0.8913,0.2051,0.2425,0.7706
Axis Estrategia 14 - Clase B,2.7487,-1.6981,4.8984,-3.8159,3.028,26.0075,0.4372,0.9267,0.2394,0.2733,0.8061
Axis Estrategia 14 - Clase X Ley N° 27.743,2.7147,-1.7316,4.8627,-3.8466,2.9914,25.9641,0.4065,0.8911,0.2051,0.2423,0.7705
Axis Estrategia 14 - Clase Y Ley N° 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axis Estrategia 15 - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axis Estrategia 15 - Clase B,3.3011,0.6289,1.296,-0.6307,-5.5521,11.7689,2.8591,2.4884,2.1643,3.8035,6.7217
Axis Estrategia 16 - Clase A,2.524,2.6548,2.6288,2.8256,3.4617,3.6615,3.0931,2.9875,2.747,2.3721,2.6521
Axis Estrategia 16 - Clase B,2.5238,2.6547,2.629,2.8255,3.4615,3.6616,3.093,2.9875,2.7471,2.3721,2.6521
Axis Estrategia 17 - Clase A,7.1601,-3.9051,10.688,-6.1735,-6.0166,38.6853,3.1964,2.2733,3.2659,-8.3277,9.9293
Axis Estrategia 17 - Clase B,7.1601,-3.9051,10.688,-6.1735,-6.0166,38.6853,3.1964,2.2733,3.2659,-8.3277,9.9293
Axis Estrategia 17 - Clase X Ley N° 27.743,7.1603,-3.9051,10.6879,-6.1736,-6.0167,38.6853,3.1965,2.2733,3.2657,-8.3281,-0.3487
