fondo,2025-05-30,2025-06-30,2025-07-31,2025-08-29,2025-09-30,2025-10-31,2025-11-28,2025-12-30,2026-01-30,2026-02-27,2026-03-31
Alpha Acciones - Clase Q Ley N° 27.743,6.3943,-12.9359,15.6371,-14.5809,-10.8921,66.4378,0.5227,0.645,4.1408,-17.0822,13.1866
Arpenta Acciones Argentina,14.2076,-12.75,18.2984,-11.7822,-11.3409,58.9926,4.9763,0.7872,0.7307,-13.4625,16.7386
Bull Market Acciones Argentinas - Clase A,10.9293,-9.8937,14.1785,-11.5857,-7.8527,52.1546,1.656,-0.877,5.7247,-16.2894,13.3682
Bull Market Acciones Argentinas - Clase B,10.9293,-9.8937,14.1785,-11.5857,-7.8527,52.1546,1.656,-0.877,5.7247,-16.2894,13.3682
Fima PB Acciones - Clase A,7.1727,-12.6865,14.3267,-14.5431,-7.3746,69.5144,0.0475,0.5532,3.9443,-15.3333,10.142
Fima PB Acciones - Clase B,7.28,-12.5961,14.445,-14.4604,-7.2757,69.6898,0.141,0.6607,4.0519,-15.2542,10.2597
Fima PB Acciones - Clase L Ley N° 27.743,7.1727,-12.6864,14.3267,-14.543,-7.3748,69.5144,0.0474,0.5531,2.8033,0.0,0.0
Gainvest Renta Variable - Clase A,9.562,-10.9596,16.0668,-13.2735,-8.2012,52.6513,2.1715,1.1174,3.7289,-13.0392,15.5877
Gainvest Renta Variable - Clase B,9.6071,-10.9217,16.1162,-13.239,-8.1608,52.7163,2.2108,1.1618,3.773,-13.0058,15.6385
Gainvest Renta Variable - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HF Acciones Lideres - Clase G,7.2247,-12.5664,16.1743,-14.846,-12.8332,70.892,,,,,
HF Acciones Lideres - Clase I,7.3441,-12.4659,16.3078,-14.7545,-12.7298,71.0884,,,,,
HF Acciones Lideres Cash Lecaps D.596 - Clase I,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Integrae Acciones - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integrae Acciones - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lombard Acciones Lideres,8.5645,-11.5863,15.5128,-12.9375,-11.0928,63.0938,1.692,1.1101,4.8391,-17.7753,14.3354
MAF Acciones Argentinas - Clase A,7.9917,-12.831,15.7676,-15.2026,-11.658,67.4237,-0.2555,1.4266,5.4791,-18.1336,13.3026
MAF Acciones Argentinas - Clase B,7.9917,-12.831,15.7676,-15.2026,-11.658,67.4237,-0.2555,1.4266,5.4791,-18.1336,13.3026
MAF Acciones Argentinas - Clase RAP Ley N° 27.743,7.9918,-10.4716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pellegrini Acciones - Clase A,6.7387,-11.6476,15.6437,-14.3614,-12.2708,65.3367,1.5897,1.6649,4.6103,-17.5759,12.5702
